G_name,RoomID,RoomName,BlogName,HotPoint
英雄联盟,8436283,S3 源计划的倔强,会跳舞的猪儿虫,9856.0
英雄联盟,5280753,网一  想上黄金的分奴,天语丶Ambition,9754.0
英雄联盟,7290866,英雄联盟萌新 嘤嘤嘤,UUUMMMRRRR,9393.0
英雄联盟,8295183,白银皇帝，直播被虐……,我想静静576475,9340.0
英雄联盟,7234118,韩服大师打野 峡谷新号冲冲冲,憨憨打野,9336.0
英雄联盟,2607793,斗鱼TV、马腿腿的直播间,斗丶鱼腿姐姐,9316.0
英雄联盟,1969375,对不起，今儿拉肚子迟到了,GTJ不是R,9314.0
英雄联盟,6271927,彩尊:战争学院战神塞拉斯白金局,彩尊,9313.0
英雄联盟,854752,单手玩游戏,小饼子o单手王,9223.0
英雄联盟,4463374,掌控雷电的悉达:凯隐,小丶哲凯隐,9138.0
英雄联盟,7794114,【饼干君】饭前来吧下棋,愤怒的饼干君,9121.0
英雄联盟,7870616,小懒猫电一云顶被虐中T。T,枕边丶喵,8991.0
英雄联盟,7429170,郊区王者中单派克征战峡谷,酒鬼派克,8850.0
英雄联盟,7884018,一区solo赛开始了,阿程诺手,8750.0
英雄联盟,7931770,网一：一起听听歌,扶不起来的阿懂,8693.0
英雄联盟,8447870,邻家DD只玩臭盖伦,邻家DD,8618.0
英雄联盟,7832082,耀我国威的时候到了,叉教授,8597.0
英雄联盟,7676817,东北大呲花   一起快乐吧,点燃那根线儿,8591.0
英雄联盟,5133276,#真香现场#,吃不饱的橘猫ObO,8494.0
英雄联盟,6818970,【有车位】：你是我藏在星星里的浪漫,你的陶陶,8432.0
英雄联盟,7354294,最强猴王king 单杀不了请叫我FW,中单猴王,8348.0
英雄联盟,796555,世界第一的威力！！世界巅峰的孤单！！,冷漠者无敌,8315.0
英雄联盟,7964381,温文尔雅盖伦专场 暴击盖伦,稳如老公情長虹,8282.0
英雄联盟,8421984,饭来 张口,一只向尚i,8258.0
英雄联盟,6783737,韩服暂停 电1 上个大师 现在钻2,凯神zzz,8189.0
英雄联盟,5107566,四月，静待安好！5107566,小翔Nevergiveup,8169.0
英雄联盟,1503605,杨多多：德莱文  欢迎来到德莱联盟,爱喝茶的杨星舒,8136.0
英雄联盟,8200666,道理我都懂，可是我就是不爱讲道理啊！,Summer祯,8125.0
英雄联盟,3504605,暂时不打号 冲冲分,执念豹女,8107.0
英雄联盟,8074727,经典斗枪的直播间 8074727,无情giao,8088.0
英雄联盟,7829806,李逍遥：最具有操作性的剑姬,李逍遥ooo,8068.0
英雄联盟,7895294,小区第一中单 7895294,就叫十洛,8066.0
英雄联盟,8289248,神秘工作间,LOL终结君,7913.0
英雄联盟,5373237,(音乐专场）这个版本对AD位太不友好了,八九和十,7894.0
英雄联盟,7600938,飞天螳螂卡兹克 7600938,义拉克,7890.0
英雄联盟,8091345,叫我局长没毛病把,明天图奇,7882.0
英雄联盟,4353189,等下一个超火火箭的男神O(∩_∩)O,一只Doyu的小女璐,7797.0
英雄联盟,7141405,九月:塞拉斯专场!钻四冲钻二！,骚九月,7793.0
英雄联盟,7256466,云顶之弈上分gogogo,查理布朗和他的伙伴,7783.0
英雄联盟,715120,KKob:Theshy专属直播间,全力以赴就好了,7748.0
英雄联盟,8447692,10.7最强阵容已出，抓紧学起来上分,高飞42213,7734.0
英雄联盟,304337,峡谷之巅单排ADC（意识、打法教学）,主播夸夸,7655.0
英雄联盟,6196182,卓哥猴子：想要个火箭呢QAQ,RZ卓哥,7641.0
英雄联盟,419675,皮城警备两办卡上车一天,勇猛男人,7608.0
英雄联盟,7933821,刀妹专场~！~,许至君丶最强刀妹,7527.0
英雄联盟,7049017,电一 冲! 艾克主场 大家帮我过过一星吧,次元超,7468.0
英雄联盟,5723310,浪白锐雯：韩服冲冲冲！,浪白锐雯,7431.0
英雄联盟,6226605,网通二区，跟你们讲个悲伤的故事,电刃无尽攻速鞋,7347.0
英雄联盟,8244483,劝你善良，默默排位,第7宇宙贝吉塔,7242.0
英雄联盟,2077063,有要求你就提.BOOM！,人生導師丶KakuiWang,7240.0
英雄联盟,6234089,英雄联盟加cod16,闪亮的小太阳彡,7226.0
英雄联盟,8357837,【  全能型AD】下会棋,芒果丨仔,7205.0
英雄联盟,5810202,学会我的艾克 上钻石不难,迷人艾克迷,7138.0
英雄联盟,8270721,今天玩玩小号娱乐一下,晓晓不是小,7137.0
英雄联盟,8494713,卡蜜儿尽力局局长~【新人多关照】,欣欣卡蜜尔,7134.0
英雄联盟,3284939,F闪峡谷之巅，关注888就不要再点！！！,国服第一贾克斯jax,7032.0
英雄联盟,1508237,锤就完事了 1508237,独走生,7012.0
英雄联盟,1625616,大厨已上线,非偶然丶,6935.0
英雄联盟,8438363,九折水瓶之我玩英雄联盟笑嘻嘻,布甲五红go,6836.0
英雄联盟,499298,老年泽拉斯，在线被锤,真新镇小林,6761.0
英雄联盟,3561149,国服第一莽鸡,鸡丶哥,6750.0
英雄联盟,4435548,峡谷之巅 男枪,清城LLLLLL,6706.0
英雄联盟,7412961,兄弟双排上分不难,钟宇大魔王,6651.0
英雄联盟,6536366,中国加油   武汉加油  6536366,留闪,6622.0
英雄联盟,5816226,钻石局经典下分教程,电竞乔二娃,6611.0
英雄联盟,5976047,不皮不开心！,单亲父亲,6602.0
